t_host,vel_l_mmps,vel_r_mmps
18.90826825000022,202,202
18.977974209000422,201,185
19.05125679200046,192,202
19.12646545900043,202,212
19.198594792000222,212,202
19.26835687499988,202,192
19.35123837500032,195,192
19.41053112500049,202,192
19.484360041999935,192,212
19.558291625000493,202,205
19.628100625000116,202,192
19.707868667000184,202,192
19.77326266700038,172,202
19.84335745899989,201,202
19.916347125000357,212,202
19.986579291999988,211,202
20.059991209000145,211,202
20.13233458400009,202,221
20.202613500000552,202,211
20.275016375000632,202,202
20.3487917500006,202,195
20.42746816700037,182,182
20.49426512500031,202,185
20.562698292000277,182,182
20.635050083999886,175,165
20.706082499999866,149,139
20.780053542000132,119,119
20.851273959000537,93,83
20.924689542000124,73,63
20.995945583999855,53,53
21.074461584000346,46,56
21.140958625000167,20,20
21.211415834000036,10,36
21.3028743750001,10,0
21.34837066700038,0,0
21.402988124999865,0,0
21.481319459000588,-10,36
21.551022499999817,0,0
21.633713334000277,0,7
21.690854166999998,0,17
21.762386709000566,-36,56
21.84281375000046,-56,73
21.90845504200024,-93,93
21.978009166999982,-112,83
22.05317791700054,-99,73
22.124125625000488,-109,83
22.198246625000138,-89,102
22.266985209000268,-102,83
22.34004520899998,-99,93
22.410445084000457,-89,83
22.480683249999856,-83,73
22.556987959000253,-83,73
22.634223875000316,-66,66
22.698201125000196,-56,46
22.777020833999813,-36,30
22.84308983400024,-30,20
22.917137874999753,-36,40
22.984481459000563,-7,0
23.05748508400029,0,0
23.130333459000212,0,0
23.20514762499988,0,0
23.273612292000507,0,0
23.34663025000009,0,0
23.416585750000195,0,0
23.49571245900006,0,0
23.568663167000523,0,0
23.63408299999992,0,0
23.707928875000107,0,0
23.7777944999998,0,0
23.86928158400042,0,0
23.921054000000368,0,0
23.99343995900017,0,0
24.065875584000423,10,0
24.14568908399997,7,0
24.21255637500053,17,9
24.286446375000196,46,53
24.355723249999755,83,73
24.425755250000293,122,112
24.517729791999955,126,136
24.575341249999838,145,165
24.642385209000167,182,192
24.713569917000314,202,201
24.785629042000437,192,195
24.861345459000404,202,202
24.92963145900012,201,208
25.005498999999872,195,205
25.076142959000208,202,202
25.14546241700009,202,192
25.22377308400064,202,212
25.29260416699981,202,182
25.362585208999917,205,195
25.44392225000047,202,192
25.509331584000392,212,195
25.579413084000407,218,221
25.652790584000286,212,192
25.726323667000543,201,212
25.79423204199975,195,201
25.865607000000637,202,192
25.942226250000203,201,205
26.011927209000532,185,208
26.086183000000347,211,192
26.15670137500001,192,202
26.227243541999997,202,202
26.299660917000438,201,202
26.369432958999823,202,182
26.44173470900023,195,201
26.515557167000225,192,202
26.586713624999902,202,212
26.66845912500048,201,211
26.729541542000334,202,192
26.80772900000011,202,202
26.875995375000457,202,195
26.948097958999824,202,218
27.017506459000288,175,195
27.089783291999993,165,185
27.163352583999767,165,155
27.23762170900045,122,139
27.317800458999955,119,119
27.389206333999937,112,92
27.449160959000437,73,73
27.524265500000183,56,73
27.60143516700009,36,53
27.664359584000522,36,17
27.7396063340002,26,20
27.810286292000455,0,20
27.87535787500019,0,0
27.933692958999927,0,10
28.007366458999968,0,26
28.074599250000574,0,0
28.14846200000011,0,17
28.218757542000276,0,36
28.291436667000198,-36,53
28.364471959000184,-83,83
28.433514792000096,-102,93
28.512139750000642,-102,99
28.581161167000573,-93,93
28.656493749999754,-83,102
28.72273291700003,-89,83
28.794429042000047,-102,83
28.86648258400055,-113,93
28.93625670900019,-93,92
29.012887459000012,-83,73
29.08393150000029,-73,73
29.16826429200046,-63,56
29.236222417000135,-26,36
29.299208625000574,-26,36
29.369247749999886,-26,36
29.44407245900038,-30,0
29.516813625000395,17,0
29.585035250000146,30,0
29.65856341700055,0,0
29.729517417000352,0,0
29.801348709000195,0,0
29.879961458999787,-17,0
29.947362417000477,-26,0
30.024770209000053,-17,0
30.090157292000185,0,0
30.87878833400009,0,0
30.935855374999846,0,0
30.99011375000009,0,0
31.04493279200051,0,0
31.10644966700056,0,0
31.157330084000023,0,0
31.213330000000497,0,0
31.278043834000528,0,0
31.32504975000029,0,0
31.384012209000502,0,0
31.44305500000064,0,0
31.491778499999782,0,0
31.550195792000522,0,0
31.607271124999897,0,0
31.659803583999746,0,0
31.722073542000544,0,0
31.77905224999995,0,0
31.834119334000206,0,0
31.89116712499981,0,0
31.94100279200029,0,0
31.997831333999784,0,0
32.05296887500026,0,0
32.10891441700005,0,0
32.166957459000514,0,0
32.23425874999975,0,0
32.282618291999825,0,0
32.33856854199985,0,0
32.38945108400003,0,0
32.444304999999986,0,0
32.50558270900001,0,0
32.56037500000002,0,0
32.6142278340003,0,0
32.66929508400062,0,0
32.725447625000015,0,0
32.78103525000006,0,0
32.83565141700001,0,0
32.89619550000043,0,0
32.95116454199979,0,0
33.007184709000285,0,0
