1787958517.369 >>> HELLO
1787958517.391 device NEZHA2 robot vevov 1198504156
1787958518.399 >>> VER
1787958518.411 ver 0.20260827.2
1787958519.419 >>> STATUS
1787958519.444 status ready=0 active=0 connL=0 connR=0 otos=1 wedge=0 flags=0 i2cf=0 cyc=0 tlm=off next=1 done=0 reason=none
1787958520.449 >>> GET max_duty #1
1787958520.467 ack 1 0 none
1787958520.467 get max_duty 100.000008
1787958521.472 >>> GET full_duty_velocity #2
1787958521.490 ack 2 0 none
1787958521.492 get full_duty_velocity 10795.000977
1787958522.500 >>> GET pid_kp #3
1787958522.515 ack 3 0 none
1787958522.515 get pid_kp 0.000000
1787958523.522 >>> GET pid_ki #4
1787958523.541 ack 4 0 none
1787958523.541 get pid_ki 6.000000
1787958524.548 >>> GET pid_i_max #5
1787958524.563 ack 5 0 none
1787958524.563 get pid_i_max 765.600037
1787958525.567 >>> GET pid_max #6
1787958525.579 ack 6 0 none
1787958525.579 get pid_max 1276.000000
1787958526.591 >>> GET twist_hold_gain #7
1787958526.611 ack 7 0 none
1787958526.611 get twist_hold_gain 2.000000
1787958527.619 >>> TLM FULL #8
1787958527.637 ack 8 0 none
1787958527.675 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787958535.357 t 124 359408 31 -1016 1775 14075 52 0 -103 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958535.381 t 125 359463 31 -1016 1775 14075 52 0 -103 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958535.433 t 126 359519 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958535.492 t 127 359575 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958535.559 t 0 359631 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958535.601 t 1 359687 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958535.663 t 2 359743 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958535.716 t 3 359799 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958535.786 t 4 359855 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958535.856 t 5 359911 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958535.894 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787958535.894 t 6 359967 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958535.932 t 7 360019 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958535.995 t 8 360075 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958536.045 t 9 360131 31 -1016 1775 14075 52 0 -104 676 738 0 146 29864 34411 10000 10000 0 0 0
1787958536.105 t 10 360188 31 -1016 1775 14075 52 0 -103 676 738 0 146 29864 34411 10000 10000 0 0 0
