1788576575.365 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
1788576575.593 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
1788576575.848 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
1788576576.079 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
1788576576.312 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
1788576576.546 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
1788576576.776 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
1788576577.001 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
1788576577.225 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
1788576577.448 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
1788576577.547 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=258 tlm=off next=8 done=7 reason=stop
1788576577.821 ack 8 7 stop
1788576577.821 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=29 cyc=260 tlm=off next=9 done=7 reason=stop
1788576578.184 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=32 cyc=275 tlm=off next=9 done=8 reason=stop
1788576578.184 DBG:wifi state=0 ip=- peer=-:0 tcp=0/0 to=4 restarts=0 sent=0 rx=0 drop=0 mdns=0/0 cmd= reply=
1788576578.184 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=32 cyc=275 tlm=off next=9 done=8 reason=stop
1788576578.413 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=32 cyc=275 tlm=off next=9 done=8 reason=stop
1788576578.641 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=32 cyc=275 tlm=off next=9 done=8 reason=stop
1788576578.871 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=32 cyc=275 tlm=off next=9 done=8 reason=stop
1788576579.095 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=32 cyc=275 tlm=off next=9 done=8 reason=stop
1788576579.316 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=32 cyc=275 tlm=off next=9 done=8 reason=stop
