RUN:clearestop -> ESTOP:cleared
STATUS pre: status ready=1 active=0 connL=1 connR=1 otos=1 wedge=0 flags=31 i2cf=118 cyc=5966 tlm=off next=1 done=10 reason=timeout
GET accel -> ack 1 10 timeout
--- rep 1: pose before (19.05,-5.28,48.45) ---
DBG:wifi state=0 ip=- peer=-:0 tcp=0/0 to=4 restarts=0 sent=0 rx=0 drop=0 mdns=0/0 cmd= reply=
ack 2 10 timeout
thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
t 61 3429483 31 -95 -134 104858 151 34 8922 0 0 130 6449 -15931 11936 0 0 0 0 0
t 62 3429539 31 -95 -134 104858 151 34 8922 0 0 130 6449 -15931 11936 0 0 0 0 0
thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
t 63 3429595 31 -95 -134 104858 151 34 8922 0 0 130 6449 -15931 11936 0 0 0 0 0
t 64 3429647 31 -95 -134 104858 151 34 8923 0 0 130 6449 -15931 11936 0 0 0 0 0
t 65 3429703 31 -95 -134 104858 151 34 8923 0 0 130 6449 -15931 11936 0 0 0 0 0
t 66 3429759 31 -95 -134 104858 151 34 8923 0 0 130 6449 -15931 11936 0 0 0 0 0
t 67 3429815 31 -95 -134 104858 151 34 8923 0 0 130 6449 -15931 11936 0 0 0 0 0
WHEELS_V 200 200 1500 #7 ack seen: True
t 68 3429871 31 -95 -134 104858 151 34 8923 0 0 130 6449 -15931 11936 0 0 0 0 0
t 69 3429927 31 -95 -134 104858 151 34 8923 0 0 130 6449 -15931 11936 0 0 0 0 0
t 70 3429983 31 -95 -134 104858 151 34 8923 0 0 130 6449 -15931 11936 0 0 0 0 0
t 71 3430039 31 -95 -134 104858 151 34 8923 0 0 130 6449 -15931 11936 0 0 0 0 0
t 72 3430095 31 -95 -134 104858 151 34 8923 0 0 130 6449 -15931 11936 0 0 0 0 0
t 73 3430151 31 -95 -134 104858 151 34 8923 0 0 130 6449 -15931 11936 0 0 0 0 0
t 74 3430207 31 -95 -134 104858 151 34 8923 0 0 130 6449 -15931 11936 0 0 0 0 0
t 75 3430263 31 -95 -134 104858 151 34 8923 0 0 130 6449 -15931 11936 0 0 0 0 0
t 76 3430320 31 -95 -134 104858 151 34 8924 0 0 130 6449 -15931 11936 0 0 0 0 0
DBG:wifi state=0 ip=- peer=-:0 tcp=0/0 to=4 restarts=0 sent=0 rx=0 drop=0 mdns=0/0 cmd= reply=
t 77 3430375 31 -95 -134 104858 151 34 8924 0 0 130 6449 -15931 11936 0 0 0 0 0
t 78 3430431 31 -95 -134 104858 151 34 8924 0 0 130 6449 -15931 11936 0 0 0 0 0
t 79 3430487 31 -95 -134 104858 151 34 8924 0 0 130 6449 -15931 11936 0 0 0 0 0
t 80 3430543 31 -95 -134 104858 151 34 8924 0 0 130 6449 -15931 11936 0 0 0 0 0
