1787956325.340 >>> HELLO
1787956325.355 device NEZHA2 robot gopiv 2175407711
1787956326.360 >>> GET max_duty #1
1787956326.380 ack 1 4 timeout
1787956326.380 get max_duty 100.000008
1787956327.385 >>> GET full_duty_velocity #2
1787956327.405 ack 2 4 timeout
1787956327.408 get full_duty_velocity 10795.000977
1787956328.413 >>> GET pid_ki #3
1787956328.426 ack 3 4 timeout
1787956328.428 get pid_ki 6.000000
1787956329.432 >>> GET pid_i_max #4
1787956329.446 ack 4 4 timeout
1787956329.446 get pid_i_max 765.600037
1787956330.530 >>> GET pid_kp #5
1787956330.547 ack 5 4 timeout
1787956330.548 get pid_kp 0.000000
1787956331.582 >>> GET pid_kaff #6
1787956331.602 ack 6 4 timeout
1787956331.602 err 1 #6
1787956332.619 >>> GET pid_max #7
1787956332.639 ack 7 4 timeout
1787956332.639 get pid_max 1276.000000
1787956333.657 >>> GET twist_hold_gain #8
1787956333.679 ack 8 4 timeout
1787956333.679 get twist_hold_gain 2.000000
1787956334.682 >>> TLM FULL #9
1787956334.701 ack 9 4 timeout
1787956334.705 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787956339.107 t 23 1009977 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956339.162 t 24 1010033 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956339.218 t 25 1010089 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956339.274 t 26 1010145 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956339.332 t 27 1010203 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956339.382 t 28 1010255 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956339.444 t 29 1010307 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956339.486 t 30 1010359 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956339.541 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787956339.552 t 31 1010411 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956339.591 t 32 1010463 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956339.642 t 33 1010515 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956339.693 t 34 1010567 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956339.746 t 35 1010619 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956339.797 t 36 1010671 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956339.849 t 37 1010723 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956339.902 t 38 1010775 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956339.955 t 39 1010827 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956340.007 t 40 1010879 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956340.059 t 41 1010931 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956340.111 t 42 1010983 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
1787956340.163 t 43 1011035 31 1727 -1068 -6709 0 0 0 766 748 0 396 29244 27461 10000 10000 0 0 0
