1787956216.602 >>> HELLO
1787956216.636 device NEZHA2 robot gopiv 2175407711
1787956217.660 >>> VER
1787956217.696 ver 0.20260827.2
1787956218.708 >>> STATUS
1787956218.735 status ready=0 active=0 connL=0 connR=0 otos=0 wedge=0 flags=0 i2cf=0 cyc=0 tlm=off next=1 done=0 reason=none
1787956219.744 >>> TLM POSE #1
1787956219.798 ack 1 0 none
1787956219.809 thdr seq now flags x y h ox oy oh vl vr i2cf
1787956234.072 t 117 904945 31 1310 -163 -4162 0 0 0 -764 -732 0
1787956234.146 t 118 905017 31 1269 -127 -4105 0 0 0 -748 -745 0
1787956234.218 t 119 905089 31 1228 -92 -4116 0 0 0 -748 -756 0
1787956234.291 thdr seq now flags x y h ox oy oh vl vr i2cf
1787956234.293 t 120 905161 31 1188 -56 -4203 0 0 0 -719 -766 0
1787956234.361 t 121 905233 31 1147 -20 -4226 0 0 0 -756 -758 0
1787956234.436 t 122 905305 31 1107 16 -4120 0 0 0 -802 -732 0
1787956234.505 t 123 905377 31 1067 51 -4116 0 0 0 -739 -745 0
1787956234.580 t 124 905449 31 1026 86 -4105 0 0 0 -739 -755 0
1787956234.649 t 125 905521 31 985 122 -4120 0 0 0 -748 -712 0
1787956234.727 t 126 905593 31 944 158 -4150 0 0 0 -758 -768 0
1787956234.793 t 127 905665 31 903 193 -4116 0 0 0 -748 -745 0
1787956234.867 t 0 905737 31 862 229 -4098 0 0 0 -764 -748 0
1787956234.936 t 1 905809 31 821 264 -4079 0 0 0 -755 -739 0
1787956235.009 t 2 905881 31 780 299 -4116 0 0 0 -748 -759 0
1787956235.081 t 3 905953 31 739 335 -4158 0 0 0 -748 -756 0
1787956235.153 t 4 906025 31 698 371 -4120 0 0 0 -775 -759 0
1787956235.237 t 5 906097 31 657 406 -4075 0 0 0 -758 -739 0
1787956235.297 t 6 906169 31 616 441 -4015 0 0 0 -765 -748 0
1787956235.372 t 7 906241 31 574 476 -4056 0 0 0 -756 -775 0
1787956235.447 t 8 906313 31 533 512 -4056 0 0 0 -759 -758 0
1787956235.500 t 9 906369 31 533 512 -4056 0 0 0 -759 -758 0
1787956235.553 t 10 906425 31 533 512 -4056 0 0 0 -759 -758 0
1787956235.610 thdr seq now flags x y h ox oy oh vl vr i2cf
1787956235.612 t 11 906481 31 533 512 -4056 0 0 0 -759 -758 0
1787956235.665 t 12 906537 31 533 512 -4056 0 0 0 -759 -758 0
1787956235.722 t 13 906593 31 533 512 -4056 0 0 0 -759 -758 0
1787956235.777 t 14 906649 31 533 512 -4056 0 0 0 -759 -758 0
1787956235.833 t 15 906705 31 533 512 -4056 0 0 0 -759 -758 0
1787956235.889 t 16 906761 31 533 512 -4056 0 0 0 -759 -758 0
1787956235.951 t 17 906817 31 533 512 -4056 0 0 0 -759 -758 0
1787956236.002 t 18 906873 31 533 512 -4056 0 0 0 -759 -758 0
1787956236.059 t 19 906931 31 533 512 -4056 0 0 0 -759 -758 0
1787956236.120 t 20 906985 31 533 512 -4056 0 0 0 -759 -758 0
1787956236.162 t 21 907035 31 533 512 -4056 0 0 0 -759 -758 0
1787956236.218 t 22 907089 31 533 512 -4056 0 0 0 -759 -758 0
1787956236.265 t 23 907139 31 533 512 -4056 0 0 0 -759 -758 0
1787956236.321 t 24 907193 31 533 512 -4056 0 0 0 -759 -758 0
1787956236.370 t 25 907243 31 533 512 -4056 0 0 0 -759 -758 0
1787956236.425 t 26 907297 31 533 512 -4056 0 0 0 -759 -758 0
1787956236.474 t 27 907347 31 533 512 -4056 0 0 0 -759 -758 0
1787956236.529 t 28 907401 31 533 512 -4056 0 0 0 -759 -758 0
1787956236.578 t 29 907451 31 533 512 -4056 0 0 0 -759 -758 0
1787956236.634 thdr seq now flags x y h ox oy oh vl vr i2cf
1787956236.636 t 30 907505 31 533 512 -4056 0 0 0 -759 -758 0
1787956236.683 t 31 907555 31 533 512 -4056 0 0 0 -759 -758 0
1787956236.737 t 32 907609 31 533 512 -4056 0 0 0 -759 -758 0
1787956236.788 t 33 907659 31 533 512 -4056 0 0 0 -759 -758 0
1787956236.844 t 34 907713 31 533 512 -4056 0 0 0 -759 -758 0
1787956236.893 t 35 907763 31 533 512 -4056 0 0 0 -759 -758 0
1787956236.951 t 36 907817 31 533 512 -4056 0 0 0 -759 -758 0
1787956236.994 t 37 907867 31 533 512 -4056 0 0 0 -759 -758 0
1787956237.049 t 38 907921 31 533 512 -4056 0 0 0 -759 -758 0
1787956237.097 t 39 907971 31 533 512 -4056 0 0 0 -759 -758 0
1787956237.154 t 40 908025 31 533 512 -4056 0 0 0 -759 -758 0
1787956237.202 t 41 908075 31 533 512 -4056 0 0 0 -759 -758 0
1787956237.259 t 42 908129 31 533 512 -4056 0 0 0 -759 -758 0
1787956237.301 >>> STATUS
1787956237.307 t 43 908179 31 533 512 -4056 0 0 0 -759 -758 0
1787956237.325 status ready=1 active=1 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=0 cyc=271 tlm=pose next=5 done=4 reason=timeout
1787956237.361 t 44 908233 31 533 512 -4056 0 0 0 -759 -758 0
1787956237.412 t 45 908283 31 533 512 -4056 0 0 0 -759 -758 0
1787956237.466 t 46 908337 31 533 512 -4056 0 0 0 -759 -758 0
1787956237.516 t 47 908387 31 533 512 -4056 0 0 0 -759 -758 0
1787956237.569 t 48 908441 31 533 512 -4056 0 0 0 -759 -758 0
1787956237.618 thdr seq now flags x y h ox oy oh vl vr i2cf
1787956237.622 t 49 908491 31 533 512 -4056 0 0 0 -759 -758 0
1787956237.671 t 50 908543 31 533 512 -4056 0 0 0 -759 -758 0
1787956237.727 t 51 908597 31 533 512 -4056 0 0 0 -759 -758 0
1787956237.775 t 52 908647 31 533 512 -4056 0 0 0 -759 -758 0
1787956237.831 t 53 908701 31 533 512 -4056 0 0 0 -759 -758 0
1787956237.878 t 54 908751 31 533 512 -4056 0 0 0 -759 -758 0
1787956237.935 t 55 908805 31 533 512 -4056 0 0 0 -759 -758 0
1787956237.982 t 56 908855 31 533 512 -4056 0 0 0 -759 -758 0
1787956238.046 t 57 908909 31 533 512 -4056 0 0 0 -759 -758 0
1787956238.118 t 58 908959 31 533 512 -4056 0 0 0 -759 -758 0
1787956238.139 t 59 909013 31 533 512 -4056 0 0 0 -759 -758 0
1787956238.190 t 60 909063 31 533 512 -4056 0 0 0 -759 -758 0
1787956238.245 t 61 909117 31 533 512 -4056 0 0 0 -759 -758 0
1787956238.305 t 62 909167 31 533 512 -4056 0 0 0 -759 -758 0
1787956238.306 >>> STOP #5
1787956238.328 ack 5 4 timeout
1787956238.348 t 63 909221 31 533 512 -4056 0 0 0 -759 -758 0
1787956238.401 t 64 909271 31 533 512 -4056 0 0 0 -759 -758 0
